,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teams,Coach Name,Conference,,Wins,Losses,Games Dropping D2,WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,Points_RANK,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3_RANK,% of shots taken from 3,% of shots taken from 3_RANK,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G_RANK,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,OReb chances,OReb chances Rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_rank,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,OReb-Top7-Total,DReb-Top7-Total,AST-Top7-Total,TO-Top7-Total,STL-Top7-Total,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank,5 Year coach gap,Average Ranking,Statistical Strength 
Abilene Christian,Brette Tanner,WAC,,3,1,2,0.75,-5,0,0,64,303,-5.5,43,98,49,0.438775510204082,182,21.5,311,10,27,0.37037037037037,83,5,321,0.234375,312,0.275510204081633,351,32,47,0.680851063829787,236,16,123,0.479591836734694,31,96.1827472197175,301,0.80672268907563,324,9,266,0.285714285714286,216,23,253,32,283,0.520325203252033,127,11.5,249,0.534883720930233,160,19.5,361,9.5,45,20.5,303,-5,319,-1.5,223,18,57,14.5,57,30,194,69.5,115,46,97,24.25,0.474226804123711,270,11.5,6,9,25,0.36,267,2.25,6,0.0971223021582734,6,0.257731958762887,5,2.74829931972789,49,7,21,0.233333333333333,46,22.5,86,29.5,26,9.5,43,0.826086956521739,316,16,42,15.5,230,18.5,316,11.5,242,35,253,36,82,9,22,27,35,0.439024390243902,0.409090909090909,0.771428571428571,6,17.5,23.5,11,14,6.5,12,35,22,28,13,54,0.8372,0.8367,0.9,0.8148,0.8438,0.7447,1.0006,1.1045,1.133,0.6667,0.7609,0.7344,0.9565,0.7179,0.6842,0.8438,1,-13.6238340021547,-66.48424660752,39.2365786032107,74.7559124191454,-27.2476680043093,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5481,156,31.5921280082,196,41.703,57,0,171.173913043478,169
Air Force,Joe Scott,Mountain West,,1,3,4,0.25,-5,0,1,63.75,306,-6.75,83,193,48.25,0.430051813471503,205,20.75,331,32,102,0.313725490196078,216,8,148,0.376470588235294,71,0.528497409326425,14,57,83,0.686746987951807,225,14.25,175,0.430051813471503,70,108.47371107708,189,0.942857142857143,208,7,335,0.222222222222222,319,22.75,264,29.75,328,0.454198473282443,290,16,72,0.771084337349398,2,11.25,112,4.5,324,17,185,1.25,133,-6,307,11.75,231,4.5,330,24,303,70.5,127,96,223,55.75,0.430493273542601,157,24,238,40,98,0.408163265306122,335,10,344,0.425531914893617,354,0.439461883408072,274,4.16143497757848,265,11.25,212,0.330882352941176,261,24.5,152,35.75,183,12.75,169,0.53125,120,9.5,317,18.25,127,13.25,162,7.25,91,26.5,82,81,184,32,99,57,83,0.440217391304348,0.323232323232323,0.686746987951807,6.25,19.75,26,15,8,4.5,25,79,60,32,18,62.75,0.9759,0.9534,1,0.9706,1,1,1.0236,1.0303,1,0.8929,0.8681,0.8739,0.9375,0.7111,1,0.9843,1,-23.8192979685818,-36.3017622001495,20.1154371733665,26.6389028610515,-63.8249209639465,5,15,33.3333333333333,201,2,9,22.2222222222222,161,5,8,62.5,178,-4.5,329,2,255,8.5,19,0.5,218,3,303,1,149,1.5,228,0,178,0,0,0,156,0.3872,292,-46.2778132021524,363,10.946,266,97,215.649122807018,299
Akron,John Groce,MAC,,1,2,2,0.333333333333333,11,0,1,71.5,206,-12,52,144,72,0.361111111111111,330,26,159,23,62,0.370967741935484,82,11.5,14,0.482517482517483,6,0.430555555555556,120,16,21,0.761904761904762,83,8,345,0.145833333333333,362,95.9473966720344,306,0.894366197183099,256,13,67,0.276595744680851,231,24.5,199,37.5,135,0.431034482758621,327,18.5,22,0.711538461538462,7,12,137,9,63,15,94,-4,302,-1.5,223,9.5,306,11,130,24,303,83.5,311,69,143,47.6666666666667,0.482517482517483,290,23,202,14,49,0.285714285714286,83,4.66666666666667,58,0.167664670658683,34,0.342657342657343,76,3.44150943396226,144,15.5,350,0.3875,332,34,359,49.5,363,18.5,339,0.804347826086957,306,13,156,11,347,15.5,242,12,260,55,365,40,115,18,45,16,21,0.347826086956522,0.4,0.761904761904762,11.5,23,34.5,17,11,6.5,23,46,34,22,13,57,0.7692,0.7986,0.7826,0.7258,1,1,0.9632,1.0783,1,0.8846,0.9388,0.92,0.9189,0.9167,0.7222,0.7972,0.9,13.2880413858293,11.8242187611603,14.7518640104983,2.07015780871548,26.5760827716586,7,16,43.75,133,2,5,40,81,1,2,50,212,1,101,10,11,8,23,4,12,3,303,5,356,2,247,0,178,0,1,0,156,0.6295,78,64.1490787530327,71,38.191,68,3,189.052631578947,217
Alabama,Nate Oats,SEC,,3,1,4,0.75,37,1,0,87,34,16,115,239,59.75,0.481171548117155,72,28.75,75,34,112,0.303571428571429,236,8.5,116,0.293103448275862,215,0.468619246861925,57,84,120,0.7,192,21,21,0.502092050209205,22,127.959994116782,37,1.12340425531915,48,12.25,106,0.337931034482759,94,32.25,10,44.5,14,0.559748427672956,44,17,47,0.591304347826087,73,11.25,112,4.75,312,14.25,72,5.25,30,-0.5,194,9,317,13,80,39.5,41,71,136,100,259,64.75,0.386100386100386,60,25,257,28,94,0.297872340425532,112,7,206,0.295774647887324,228,0.362934362934363,107,3.50769230769231,154,11,193,0.254335260115607,83,24,135,35,158,10,53,0.4,29,9.5,317,19.5,77,12.5,136,5,27,27.5,99,95,194,29,97,71,95,0.489690721649485,0.298969072164948,0.747368421052632,6.25,22.75,29,14.25,7.5,3.5,25,91,57,30,14,72.5,0.8261,0.8117,0.8529,0.8661,0.8452,0.7917,1.0177,0.9848,1.0677,0.5102,0.7054,0.6517,0.8382,0.6667,0.7368,0.8333,0.9,-6.6682771442514,-19.0895707828814,101.136830312699,56.9617150654012,68.7107052413148,10,21,47.6190476190476,115,1,9,11.1111111111111,194,12,15,80,80,1.66666666666667,97,4.33333333333333,171,4.33333333333333,164,0.666666666666667,215,1,152,1.33333333333333,220,1,148,0.666666666666667,143,1,0,0.500000000000002,91,0.6857,47,130.81976206346,13,70.697,10,3,120.982456140351,47
Alabama A&M,Otis Hughley Jr.,SWAC,,3,1,1,0.75,-13,0,1,71,213,-10,27,76,76,0.355263157894737,334,27,125,3,19,0.157894736842105,362,3,359,0.126760563380282,361,0.25,361,14,24,0.583333333333333,342,14,177,0.315789473684211,231,93.2247899159664,322,0.814285714285714,321,23,2,0.418181818181818,12,23,253,46,7,0.505494505494505,165,12,220,0.444444444444444,279,17,335,10,30,27,360,-2,247,13,7,21,24,10,156,48,3,81,277,29,59,14.75,0.491525423728814,307,7.25,3,5,14,0.357142857142857,258,1.25,3,0.0462962962962963,3,0.23728813559322,3,3.36,127,13,297,0.361111111111111,307,32,346,45,352,14,213,1.93103448275862,364,20,3,25,7,17,279,14,298,42,338,23,63,2,15,10,18,0.365079365079365,0.133333333333333,0.555555555555556,12,14,26,12,12,8,12,14,12,12,8,58,0.8519,0.8289,0.6667,0.7895,0.7143,0.75,1.0276,0.8444,0.9524,0.5217,0.6087,0.5652,1,0.7059,0.8,0.8169,1,-3.316060199578,-3.316060199578,-3.316060199578,–,-3.316060199578,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4167,282,24.4450229187333,227,15.567,201,0,204.847826086957,266
Alabama St.,Tony Madlock,SWAC,,0,2,2,0,-13,0,1,70,N/A,-13.5,47,121,60.5,0.388429752066116,N/A,23.5,N/A,10,42,0.238095238095238,N/A,5,N/A,0.214285714285714,N/A,0.347107438016529,N/A,36,46,0.782608695652174,N/A,18,N/A,0.380165289256198,N/A,102.309266296405,N/A,0.859504132231405,N/A,13.5,N/A,0.341772151898734,N/A,20.5,N/A,34,N/A,0.489208633093525,N/A,10.5,N/A,0.446808510638298,N/A,13.5,N/A,7.5,N/A,22.5,N/A,-5,N/A,3.5,N/A,10,N/A,13,N/A,28,N/A,83.5,N/A,54,105,52.5,0.514285714285714,N/A,27,N/A,16,40,0.4,N/A,8,N/A,0.287425149700599,N/A,0.380952380952381,N/A,2.19469026548673,N/A,9.5,N/A,0.316666666666667,N/A,26,N/A,35.5,N/A,17,N/A,0.62962962962963,N/A,13,N/A,17.5,N/A,21.5,N/A,10.5,N/A,33,N/A,43,111,8,35,32,40,0.387387387387387,0.228571428571429,0.8,11,16,27,10.5,10,7.5,22,32,21,20,15,63,0.9149,0.9174,0.8,0.8333,0.8889,0.8696,0.9973,0.96,1.0222,0.8148,0.7805,0.7941,1,0.7407,1,0.9,1,21.773573828357,6.115253210834,37.43189444588,22.1442093812873,43.547147656714,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3231,327,3.3012040926,332,6.629,335,0,331.333333333333,364
Albany,Dwayne Killings,American East,,3,1,3,0.75,-13,0,1,72,198,5.3333333333333,79,186,62,0.424731182795699,218,26.3333333333333,151,17,63,0.26984126984127,301,5.66666666666667,300,0.236111111111111,310,0.338709677419355,288,41,54,0.759259259259259,91,13.6666666666667,201,0.290322580645161,268,110.181595592736,175,0.98314606741573,166,11.6666666666667,138,0.315315315315316,156,24.6666666666667,192,36.3333333333334,170,0.51904761904762,131,10,300,0.379746835443038,336,9,18,9,63,18,223,-2,247,8.66666666666667,29,15.6666666666667,113,11,130,35.3333333333333,97,66.6666666666667,75,67,155,38.75,0.432258064516129,161,16.75,47,16,53,0.30188679245283,123,4,25,0.18,49,0.341935483870968,73,3.80549682875264,208,8.33333333333333,56,0.252525252525252,79,25.3333333333333,184,33.6666666666666,111,10.6666666666667,69,0.636815920398012,222,14.3333333333333,94,16,199,9.66666666666667,49,4.66666666666667,24,32,186,61,146,15,55,32,41,0.417808219178082,0.272727272727273,0.780487804878049,6.33333333333333,18,24.3333333333333,7.33333333333333,4.66666666666667,5.66666666666667,19,54,22,14,17,56.3333333333333,0.7722,0.7849,0.8824,0.873,0.7805,0.7593,0.9837,1.0107,1.028,0.5429,0.7297,0.6697,0.7333,0.5185,0.6296,0.7824,0.733333333333333,23.8091933828982,-10.455662053866,74.813949941066,42.9077930750475,88.1674812700982,8,18,44.4444444444444,126,1,5,20,164,8,11,72.7272727272727,128,-1,246,6,72,4.5,157,1.5,130,1.5,223,1.5,230,2,247,2,20,0,0,1.33333333333333,27,0.3636,302,21.9270711725333,244,7.529,318,0,156.245614035088,120
Alcorn St.,Landon Bussie,SWAC,,0,4,3,0,-13,0,1,52,359,-43,56,166,55.3333333333333,0.337349397590361,350,18.6666666666667,350,11,42,0.261904761904762,311,3.66666666666667,357,0.211538461538462,339,0.253012048192771,360,33,49,0.673469387755102,252,11,287,0.295180722891566,264,81.8811673315137,355,0.698863636363637,355,13.3333333333333,58,0.336134453781512,101,17,361,30.3333333333333,322,0.423255813953488,336,9.66666666666667,310,0.517857142857142,189,16.6666666666667,332,7.33333333333333,154,14.3333333333333,75,-0.3333333333333,192,-8.0000000000001,332,11,253,6.66666666666667,262,26.6666666666667,274,95,360,96,188,47,0.51063829787234,333,24,238,46,104,0.442307692307692,351,11.5,360,0.363157894736842,325,0.553191489361702,358,4.89041095890411,320,15,342,0.46875,363,26.3333333333333,230,41.3333333333333,311,26,365,1.08333333333333,349,10.3333333333333,283,14,294,23,357,17,341,32.6666666666667,206,42,133,8,31,28,42,0.315789473684211,0.258064516129032,0.666666666666667,8.33333333333333,10,18.3333333333333,8.33333333333333,11,6,25,30,25,33,18,40,0.75,0.8012,0.7273,0.7381,0.8485,0.8571,0.9361,0.9853,0.9899,0.625,0.5882,0.6044,0.8621,0.66,0.8182,0.7692,1,-7.449178743318,-44.077326743318,10.935688365564,28.006119557135,-40.590817121072,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4545,253,13.559663093,284,15.761,199,85,292.413043478261,359
American,Duane Simpkins,Patriot,,1,3,4,0.25,-16,0,1,60,333,-15.25,85,221,55.25,0.384615384615385,298,21.25,321,34,104,0.326923076923077,177,8.5,116,0.425,33,0.470588235294118,50,36,48,0.75,104,9,327,0.217194570135747,338,96.4475164764507,299,0.875536480686695,273,7.5,323,0.20979020979021,340,20,333,27.5,355,0.419847328244275,339,10.75,275,0.505882352941176,204,10.5,73,4.75,312,17.25,202,-4.75,316,-3.5,270,11,253,6,284,21,337,75.25,195,105,215,53.75,0.488372093023256,302,26.25,288,21,68,0.308823529411765,135,5.25,88,0.209302325581395,96,0.316279069767442,37,4.23853211009174,274,9.75,132,0.327731092436975,256,28.25,300,38,247,11,81,0.419047619047619,39,9.25,327,12.5,336,14.25,198,10.5,205,39,318,78,197,31,93,30,40,0.395939086294416,0.333333333333333,0.75,5.75,17.25,23,10,6.5,4,23,69,40,26,16,54.25,0.9176,0.8914,0.9118,0.8942,0.8333,0.8333,1.0294,1.0196,1,0.7667,0.8625,0.8364,0.9302,0.619,0.8421,0.9042,1,-8.54569542,-69.1160967424949,36.807786362216,43.6719330168168,-49.3997012202789,3,7,42.8571428571429,137,1,2,50,44,3,4,75,104,-3,290,2,255,5,124,0,232,0,1,1,149,1,148,0,178,0,0,0,156,0.4722,236,14.8053533724,273,11.983,245,0,214.578947368421,295
Appalachian St.,Dustin Kerns,Sun Belt,,1,2,2,0.333333333333333,-2,0,1,59.5,338,-22.5,42,109,54.5,0.385321100917431,297,21,323,16,56,0.285714285714286,271,8,148,0.403361344537815,51,0.513761467889908,20,19,34,0.558823529411765,356,9.5,319,0.311926605504587,238,89.2321535692861,337,0.8,327,10.5,193,0.272727272727273,239,24.5,199,35,205,0.472972972972973,253,11,266,0.523809523809524,177,18.5,354,5,295,18.5,248,-1.5,228,-9,339,5.5,357,4.5,330,21,337,82,287,60,129,43,0.465116279069767,246,20,113,19,53,0.358490566037736,262,6.33333333333333,168,0.231707317073171,126,0.410852713178295,229,2.75247524752475,50,11,193,0.309859154929577,214,28,287,39,272,13,176,0.65,236,10,295,17,161,13,146,11,226,38,304,36,93,13,48,15,28,0.387096774193548,0.270833333333333,0.535714285714286,8,18,26,9.5,9,4.5,16,36,19,18,9,50,0.8571,0.8532,0.8125,0.8571,0.7895,0.8235,1.0046,0.9479,0.9586,0.7619,0.7347,0.7429,0.8636,0.4865,0.9,0.8403,1,-42.4311858011183,-44.5596679222143,-40.3027036800223,3.01012828292262,-84.8623716022366,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5875,124,39.2744788767714,160,28.323,108,52,230.347826086957,319
