,,,,,,,,,,,,,,,,,,,
,Month,Day,Year,Location,Line Favorite,Line,Over/Under,Attendance,,,,,,,,,,,
,Nov,17,2024,"Beaumont, TX",SHSU,-6.5,148.5,"1,848",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Team,Points Scored,Wins,Losses,FGM,FGA,3PTM,3PTA,FTM,FTA,OReb,DReb,AST,Steals,Turn,Pts Off Turn,Fast Break Pts,Pts in Paint,Largest Lead
,SHSU,85,2,2,31,57,10,21,13,18,9,22,24,5,10,23,22,38,16
,LAM,72,1,2,23,64,6,22,20,25,22,19,16,6,14,11,6,30,0
,"
",,,,,,,,,,,,,,,,,,
,Player Name,Team,Bench/Starter,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OReb,DReb,AST,Steals,Turnovers,PF,Points,,
,Kalifa Sakho,SHSU,Starter,23,9,12,0,0,4,5,1,5,6,1,0,3,22,,
,Marcus Boykin,SHSU,Starter,34,3,7,1,3,2,3,0,5,11,0,1,1,9,,
,Josiah Hammons,SHSU,Starter,20,2,5,2,5,0,0,0,2,0,1,1,0,6,,
,Dorian Finister,SHSU,Starter,35,2,7,1,3,2,4,5,2,4,0,1,2,7,,
,Lamar Wilkerson,SHSU,Starter,34,9,16,6,10,4,4,1,1,2,2,1,0,28,,
,Andrew Holifield,LAM,Starter,28,5,7,2,3,3,4,4,2,1,0,1,0,15,,
,Adam Hamilton,LAM,Starter,25,4,11,0,0,5,6,3,1,2,1,1,0,13,,
,Danquez Dawsey,LAM,Starter,32,2,11,2,6,2,2,1,1,4,1,0,2,8,,
,Alexis Marmolejos,LAM,Starter,29,2,9,0,5,0,0,1,5,2,0,0,1,4,,
,Cody Pennebaker,LAM,Starter,23,4,10,1,3,0,0,3,3,5,2,1,0,9,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,0,,
