,,FGM,FGA,,3M,3A,,FTM,FTA,,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Top 25,Overtime,Steal:Turnover Ratio,Clutch Value Sum
Abilene Christian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Force,,5,15,33.3333333333333,2,9,22.2222222222222,5,8,62.5,-4.5,2,8.5,0.5,3,1,1.5,0,0,0,0,-5.0037
Akron,,7,16,43.75,2,5,40,1,2,50,1,10,8,4,3,5,2,0,0,1,0,3.6645
Alabama,,10,21,47.6190476190476,1,9,11.1111111111111,12,15,80,1.66666666666667,4.33333333333333,4.33333333333333,0.666666666666667,1,1.33333333333333,1,0.666666666666667,1,0,0.500000000000002,14.5945
Alabama A&M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,,8,18,44.4444444444444,1,5,20,8,11,72.7272727272727,-1,6,4.5,1.5,1.5,1.5,2,2,0,0,1.33333333333333,12.4986
Alcorn St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American,,3,7,42.8571428571429,1,2,50,3,4,75,-3,2,5,0,0,1,1,0,0,0,0,1.0806
Appalachian St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona St.,,9,22,40.9090909090909,2,12,16.6666666666667,12,15,80,0.333333333333333,6.33333333333333,5,1.66666666666667,1.33333333333333,1.33333333333333,1,0.333333333333333,0,0,0.25,12.2375
Arkansas,,2,6,33.3333333333333,1,3,33.3333333333333,2,2,100,0,5,4,1,2,1,0,0,1,0,0,2.9707
Arkansas Pine Bluff,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas St.,,11,25,44,1,9,11.1111111111111,4,7,57.1428571428571,-3,6,8,2,2,1.5,3.5,1,1,1,0.666666666666667,
Army,,13,21,61.9047619047619,6,8,75,10,17,58.8235294117647,4.5,5,6,1,1.5,1,2.5,0.5,0,1,0.5,
Auburn,,5,6,83.3333333333333,1,1,100,6,7,85.7142857142857,4,3,4,1,3,2,3,3,1,0,1.5,
Austin Peay,,6,14,42.8571428571429,0,1,0,6,13,46.1538461538462,-1.5,5,7,2,3,0,1,1,0,0,0,
Ball St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Baylor,,2,7,28.5714285714286,0,3,0,3,4,75,0,4,5,2,1,0,1,0,1,0,0,
Bellarmine,,6,17,35.2941176470588,2,10,20,4,4,100,0,3.5,5,1.5,1.5,1,2,0.5,0,0,0.5,
Belmont,,7,8,87.5,3,4,75,2,2,100,8,4,0,1,0,1,1,0,0,0,0,
Bethune Cookman,,4,11,36.3636363636364,2,7,28.5714285714286,0,0,0,2,7,4,3,0,2,1,0,0,0,0,
Binghamton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boise St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boston College,,2,10,20,0,2,0,4,6,66.6666666666667,2,8,8,3,3,0,3,0,0,0,0,
Boston University,,4,11,36.3636363636364,1,3,33.3333333333333,1,2,50,-5,6,7,2,1,1,1,0,0,0,0,
Bowling Green,,5,10,50,0,3,0,9,11,81.8181818181818,0,4,5,1,0,1,4,4,0,0,4,
Bradley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brown,,10,31,32.258064516129,5,20,25,7,9,77.7777777777778,-3.66666666666667,5.66666666666667,6,3,2,2.66666666666667,2.33333333333333,1.66666666666667,0,1,0.625,
Bryant,,3,14,21.4285714285714,0,3,0,5,5,100,-9,10,8,5,3,7,4,1,0,1,0.142857142857143,
Bucknell,,21,46,45.6521739130435,4,18,22.2222222222222,23,37,62.1621621621622,2,10.3333333333333,11.6666666666667,2.33333333333333,4,4.33333333333333,3.66666666666667,2.33333333333333,0,3,0.538461538461538,
Buffalo,,3,7,42.8571428571429,1,3,33.3333333333333,0,0,0,-3,3,6,1,3,2,3,0,0,0,0,
Butler,,4,8,50,1,4,25,2,3,66.6666666666667,1,6,3,2,1,2,0,0,0,0,0,
BYU,,3,6,50,0,3,0,5,8,62.5,-5,3,5,1,0,2,2,2,0,0,1,
Cal Baptist,,4,13,30.7692307692308,0,3,0,6,6,100,-1.5,4,6.5,0.5,2.5,0.5,1,0,0,0,0,
Cal Poly,,8,19,42.1052631578947,1,8,12.5,5,7,71.4285714285714,3,7.5,5.5,2,1.5,3,3,1.5,0,0,0.5,
Cal St. Bakersfield,,7,8,87.5,3,4,75,1,3,33.3333333333333,8,3,3,0,1,0,1,1,0,0,0,
Cal St. Fullerton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cal St. Northridge,,3,4,75,1,2,50,8,10,80,10,5,5,1,3,0,3,1,0,0,0,
California,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Campbell,,6,17,35.2941176470588,0,6,0,3,5,60,-1.5,4,5.5,2.5,1.5,0.5,2,1,0,0,2,
Canisius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Arkansas,,1,5,20,0,2,0,0,0,0,-12,3,5,0,1,5,1,0,0,0,0,
Central Connecticut,,5,14,35.7142857142857,2,4,50,8,8,100,-2,3.5,4.5,1,1,0.5,0,0.5,0,0,1,
Central Michigan,,5,19,26.3157894736842,3,11,27.2727272727273,7,13,53.8461538461538,-5.66666666666667,4.33333333333333,4.33333333333333,2.33333333333333,1,3,1.66666666666667,1.33333333333333,0,0,0.444444444444443,
Charleston,,11,25,44,2,8,25,5,7,71.4285714285714,-6,16,10,6,2,4,2,1,0,1,0.25,
Charleston Southern,,4,8,50,1,4,25,4,6,66.6666666666667,2,5,5,2,1,3,3,1,0,0,0.333333333333333,
Charlotte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chattanooga,,8,20,40,0,8,0,6,11,54.5454545454545,0,7.5,7,3,2.5,0.5,0.5,0,0,0,0,
Chicago St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cincinnati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clemson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cleveland St.,,4,4,100,0,0,0,6,7,85.7142857142857,6,5,2,0,1,1,1,1,0,0,1,
Coastal Carolina,,5,12,41.6666666666667,2,5,40,8,12,66.6666666666667,3.5,6,6,0.5,2,2,0.5,0.5,0,0,0.25,
Colgate,,2,6,33.3333333333333,0,2,0,2,3,66.6666666666667,0,5,5,1,1,2,2,2,0,0,1,
Colorado,,8,16,50,1,4,25,16,21,76.1904761904762,0,13,10,5,6,4,4,3,0,1,0.75,
Colorado St.,,9,17,52.9411764705882,2,7,28.5714285714286,19,21,90.4761904761905,3.5,7,4,1.5,1.5,2,2.5,2,0,1,1,
Columbia,,5,11,45.4545454545455,0,2,0,14,23,60.8695652173913,-2,6.5,5,3,0,1.5,0.5,0.5,0,0,0.333333333333333,
Connecticut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Coppin St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cornell,,6,11,54.5454545454545,3,5,60,12,16,75,2,4.5,5,2,3.5,2,1.5,0,0,0,0,
Creighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dartmouth,,1,4,25,1,3,33.3333333333333,5,8,62.5,-9,4,1,3,0,6,3,1,0,0,0.166666666666667,
Davidson,,6,12,50,0,2,0,22,26,84.6153846153846,3,6,3.5,2,1.5,2.5,1,0,0,0,0,
Dayton,,5,6,83.3333333333333,1,2,50,6,11,54.5454545454545,3,4,4,1,0,2,2,2,0,0,1,
Delaware,,1,6,16.6666666666667,0,1,0,9,12,75,4,6,6,1,3,1,4,3,0,0,3,
Delaware St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Denver,,3,10,30,0,4,0,6,8,75,-7.5,4,6,0.5,2.5,3.5,0,0,0,0,0,
DePaul,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Detroit Mercy,,6,10,60,2,3,66.6666666666667,10,10,100,6,10,4,1,1,3,2,1,0,1,0.333333333333333,
Drake,,1,4,25,1,2,50,5,6,83.3333333333333,2,4,3,0,0,1,1,0,0,0,0,
Drexel,,5,18,27.7777777777778,2,9,22.2222222222222,0,2,0,-1,6,5.5,2.5,1,1,1,0,0,0,0,
Duke,,2,5,40,0,2,0,3,4,75,-6,5,4,1,2,4,1,1,1,0,0.25,
Duquesne,,3,7,42.8571428571429,2,3,66.6666666666667,2,2,100,-2,4,2,2,0,4,2,1,0,0,0.25,
East Carolina,,8,21,38.0952380952381,3,7,42.8571428571429,19,32,59.375,0,11.5,7,5.5,1.5,3,2,0.5,0,1,0.166666666666667,
East Tennessee St.,,9,17,52.9411764705882,2,6,33.3333333333333,3,5,60,-4.5,3,5.5,1.5,2.5,0.5,2,1.5,0,0,3,
East Texas A&M,,10,16,62.5,3,6,50,6,8,75,3.5,4,4,1.5,2,1.5,3,3,0,0,2,
Eastern Illinois,,3,11,27.2727272727273,0,4,0,0,1,0,-10,5,10,2,3,2,1,1,0,1,0.5,
Eastern Kentucky,,2,4,50,2,3,66.6666666666667,4,5,80,3,4,3,1,1,3,0,0,0,0,0,
Eastern Michigan,,4,15,26.6666666666667,1,6,16.6666666666667,6,9,66.6666666666667,-4,4,5.5,2,1.5,1.5,1.5,1,0,0,0.666666666666667,
Eastern Washington,,7,12,58.3333333333333,2,6,33.3333333333333,8,10,80,-3,2.5,4,0,1.5,0.5,1,1,0,0,2,
Elon,,2,6,33.3333333333333,0,1,0,2,4,50,-1,3,5,1,1,0,2,0,0,0,0,
Evansville,,1,6,16.6666666666667,0,4,0,4,6,66.6666666666667,-10,4,4,2,0,3,1,1,0,0,0.333333333333333,
Fairfield,,1,4,25,1,1,100,0,0,0,-2,6,2,1,0,3,0,0,0,0,0,
