,Team,,Top25,Home,OT,Opponent,Date,,FGM,FGA,,3M,3A,,FTM,FTA,,SM,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Win,ComeFromBehindWins,BlownLeadClutchLoss,Away,Neutral,Top 25,Overtime,Opp Historical Value,Opp Historical Value 1-100,Opp Historical Value 101-200,Opp Historical Value 300+,Opp Current Value,SOS of Game,% of points in clutch,Opp % of points in clutch,"Had Lead, but Lost",Came back from deficit and won,Perfect Fg,Perfect 3Fg,Perfect Ft,Free throws lost game,Made a 10+ marg into clutch game ,20% of scoring came during clut,"Clutch Shot differential? Move Value to part of SOS, average clutch last year?, percentage of clutch points from 3 and ft, opp 2 fg and 3fg",Clutch Value
Team:,,,,,,,,,Sum:,Sum:,,Sum:,Sum:,,Sum:,Sum:,,,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Sum:,Sum:,,Sum:,Sum:,Sum:,,,,,,,,,,,,,,,,,,Sum:
Abilene Christian,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
Air Force,,,,,,,,,5,15,,2,9,,5,8,,,-4.5,2,8.5,0.5,3,1,1.5,0,0.5,0,1,,0,0,0,,,,,,,,,,,,,,,,,,-5.0037
,Air Force,,0,HOME,0,Jacksonville St.,"Nov 7, 2024",,5,8,0.625,2,5,0.4,4,6,0.666666666666667,6,2,3,6,1,2,0,2,0,1,0,0,0,0,0,0,15.992,,,,,,0.219178082191781,0.208955223880597,0,0,0,0,0,0,0,1,,6.1773
,Air Force,,0,HOME,0,LIU,"Nov 11, 2024",,0,7,0,0,4,0,1,2,0.5,-9,-11,1,11,0,4,2,1,0,0,0,1,0,0,0,0,7.111,,,,,,0.0185185185185185,0.19047619047619,1,0,0,0,0,1,0,0,,-11.181
Akron,,,,,,,,,7,16,,2,5,,1,2,,,1,10,8,4,3,5,2,0,0,0,0,,0,0,1,,,,,,,,,,,,,,,,,,3.6645
,Akron,,0,AWAY,1,Arkansas St.,"Nov 4, 2024",,7,16,0.4375,2,5,0.4,1,2,0.5,-5,1,10,8,4,3,5,2,0,0,0,0,1,0,0,1,22.157,,,,,,0.226666666666667,0.225,0,0,0,0,0,0,0,1,,3.6645
Alabama,,,,,,,,,10,21,,1,9,,12,15,,,1.66666666666667,4.33333333333333,4.33333333333333,0.666666666666667,1,1.33333333333333,1,0.666666666666667,0.666666666666667,0,0,,0,1,0,,,,,,,,,,,,,,,,,,14.5945
,Alabama,,1,HOME,0,McNeese St.,"Nov 11, 2024",,2,5,0.4,0,3,0,5,6,0.833333333333333,8,2,4,4,1,1,1,2,2,1,0,0,0,0,0,0,29.493,,,,,,0.125,0.109375,0,0,0,0,0,0,0,0,,7.2917
,Alabama,,1,AWAY,0,Purdue,"November 15, 2024",,4,9,0.444444444444444,1,5,0.2,1,1,1,-9,-2,3,5,1,1,1,0,0,0,0,0,1,0,1,0,87.117,,,,,,0.128205128205128,0.126436781609195,0,0,0,0,0,0,0,0,,1.8724
,Alabama,,0,HOME,0,Arkansas St.,"Nov 8, 2024",,4,7,0.571428571428571,0,1,0,6,8,0.75,9,5,6,4,0,1,2,1,0,1,0,0,0,0,0,0,22.157,,,,,,0.159090909090909,0.113924050632911,0,0,0,0,0,0,0,0,,5.4304
Alabama A&M,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Alabama A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Alabama St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,,,,,,,,,8,18,,1,5,,8,11,,,-1,6,4.5,1.5,1.5,1.5,2,2,0.5,0,0,,0,0,0,,,,,,,,,,,,,,,,,,12.4986
,Albany,,0,AWAY,0,Army,"Nov 4, 2024",,3,11,0.272727272727273,1,5,0.2,3,4,0.75,-8,-8,6,6,2,1,2,1,1,0,0,0,1,0,0,0,12.615,,,,,,0.169491525423729,0.26865671641791,0,0,0,0,0,0,0,0,,-0.0583
,Albany,,0,HOME,0,Siena,"Nov 16, 2024",,5,7,0.714285714285714,0,0,0,5,7,0.714285714285714,10,6,6,3,1,2,1,3,3,1,0,0,0,0,0,0,10.708,,,,,,0.214285714285714,0.15,0,0,0,0,0,0,0,1,,12.5569
Alcorn St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Alcorn St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,3,7,,1,2,,3,4,,,-3,2,5,0,0,1,1,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,1.0806
,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,American,,0,AWAY,0,Siena,"Nov 12, 2024",,3,7,0.428571428571429,1,2,0.5,3,4,0.75,-8,-3,2,5,0,0,1,1,0,0,0,0,1,0,0,0,10.708,,,,,,0.151515151515152,0.175675675675676,0,0,0,0,0,0,0,0,,1.0806
Appalachian St.,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Appalachian St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona St.,,,,,,,,,9,22,,2,12,,12,15,,,0.333333333333333,6.33333333333333,5,1.66666666666667,1.33333333333333,1.33333333333333,1,0.333333333333333,0.666666666666667,0,0,,1,0,0,,,,,,,,,,,,,,,,,,12.2375
,Arizona St.,,0,NEUTRAL,0,Santa Clara,"Nov 8, 2024",,3,7,0.428571428571429,2,6,0.333333333333333,5,7,0.714285714285714,7,3,6,6,1,1,1,2,0,1,0,0,0,1,0,0,27.311,,,,,,0.160493827160494,0.135135135135135,0,0,0,0,0,0,0,0,,5.2505
,Arizona St.,,0,AWAY,0,Gonzaga,"Nov 10, 2024",,4,9,0.444444444444444,0,4,0,1,1,1,-8,-8,4,4,1,1,2,0,0,0,0,0,1,0,0,0,93.118,,,,,,0.1125,0.193181818181818,0,0,0,0,0,0,0,0,,-1.7426
,Arizona St.,,0,HOME,0,Idaho St.,"Nov 5, 2024",,2,6,0.333333333333333,0,2,0,6,7,0.857142857142857,7,6,9,5,3,2,1,1,1,1,0,0,0,0,0,0,12.296,,,,,,0.181818181818182,0.0833333333333333,0,0,0,0,0,0,0,0,,8.7296
Arkansas,,,,,,,,,2,6,,1,3,,2,2,,,0,5,4,1,2,1,0,0,0,0,0,,1,1,0,,,,,,,,,,,,,,,,,,2.9707
,Arkansas,,1,NEUTRAL,0,Baylor,"Nov 9, 2024",,2,6,0.333333333333333,1,3,0.333333333333333,2,2,1,-5,0,5,4,1,2,1,0,0,0,0,0,0,1,1,0,67.628,,,,,,0.104477611940299,0.0972222222222222,0,0,0,0,0,0,0,0,,2.9707
Arkansas Pine Bluff,,,,,,,,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,0
,Arkansas Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas St.,,,,,,,,,11,25,,1,9,,4,7,,,-3,6,8,2,2,1.5,3.5,1,0.5,0,0,,0,1,1,,,,,,,,,,,,,,,,,,6.7556
,Arkansas St.,,0,HOME,1,Akron,"Nov 4, 2024",,8,15,0.533333333333333,0,5,0,2,4,0.5,5,-1,8,10,3,4,2,5,0,1,0,0,0,0,0,1,38.191,,,,,,0.225,0.226666666666667,0,0,0,0,0,0,0,1,,3.8583
,Arkansas St.,,0,AWAY,0,Alabama,"Nov 8, 2024",,3,10,0.3,1,4,0.25,2,3,0.666666666666667,-9,-5,4,6,1,0,1,2,2,0,0,0,1,0,1,0,70.697,,,,,,0.113924050632911,0.159090909090909,0,0,0,0,0,0,0,0,,2.8973
Army,,,,,,,,,13,21,,6,8,,10,17,,,4.5,5,6,1,1.5,1,2.5,0.5,0.5,1,0,,0,0,1,,,,,,,,,,,,,,,,,,17.4189
