,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,5.686516,0.025252,-0.113503,-1.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,0.076186,0.846192,-0.113265,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,,Wins Prior to Season,Losses Prior to Season,Wins at School,Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach,Consecutive seasons improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,AP + UPSET + MM Year Prior INDY,5 Year coach gap,Started Season as Head Coach,NOTES***,,Score
Abilene Christian,Brette Tanner,WAC,FALSE,FALSE,FALSE,FALSE,TRUE,,54,46,54,46,3,1,57,47,0.5481,0.5481,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0.5,1,0,0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.471,0,0.471,1,0,-0.471,0,,,1,0,0,-5,0,0,1,,,31.5921280082
Air Force,Joe Scott,Mountain West,FALSE,FALSE,FALSE,FALSE,TRUE,,274,318,90,141,1,3,275,321,0.4614,0.3872,1,21,5,0,1,0,100,0,0,0,1,0.0476190476190476,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,3,0,0,0.19047619047619,0,0,0,0,7,3,0,0,0,7,0,0.333333333333333,0,1,0,4,3,1,0,5,5,0,25,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.25,0.29,0,0.29,0,0,-0.29,0,,,-1,0,1,-5,0,97,1,,,-46.2778132021524
Akron,John Groce,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,320,212,140,81,1,2,321,214,0.6,0.6295,0,17,8,5,5,0,100,1,0,0.294117647058824,0,0.3125,25,0,0,0,0,4,5,0.444444444444444,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,4,0,0.833333333333333,0.8,0,0,0,13,8,3,1,0,13,3,0.764705882352941,0,1,6,0,6,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.686,0,0.686,1,0,-0.686,0,,,1,0,1,11,0,3,1,, ,64.1490787530327
Alabama,Nate Oats,SEC,FALSE,FALSE,FALSE,FALSE,TRUE,,213,97,117,54,3,1,216,98,0.6879,0.6857,0,10,6,6,7,4,100,1,0,0.6,0,0.777777777777778,49,0,0.8,0,0,10,7,0.588235294117647,100,0,1,0,0,0,0,0,3,1,1,0,0,0,0,6,4,1,5,2,1,0.714285714285714,0.5,0,0,9,6,2,5,2,10,2,1,1,0,9,0,9,0,10,0,0,100,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.75,0.676,0,0.676,0,0,-0.676,0,,,1,1,0,37,0,3,1,,,130.81976206346
Alabama A&M,Otis Hughley Jr.,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,27,41,27,41,3,1,30,42,0.4167,0.4167,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.75,0.343,0,0.343,0,0,-0.343,0,,,1,0,1,-13,0,0,1,,,24.4450229187333
Alabama St.,Tony Madlock,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,37,62,21,42,0,2,37,64,0.3663,0.3231,0,4,3,0,0,0,16,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,4,0,16,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.406,0,0.406,1,0,-0.406,0,,,1,0,1,-13,0,0,1,,,3.3012040926
Albany,Dwayne Killings,American East,FALSE,FALSE,FALSE,FALSE,TRUE,,21,41,21,41,3,1,24,42,0.3636,0.3636,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,3,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0.75,0.406,0,0.406,1,0,-0.406,0,,,1,0,1,-13,0,0,1,,,21.9270711725333
Alcorn St.,Landon Bussie,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,55,62,55,62,0,4,55,66,0.4545,0.4545,1,5,5,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.6,0,0,0,0,1,0,0,0,0,1,0,0.2,0,1,0,1,1,0,0,2,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.438,0,0.438,0,0,-0.438,0,,,1,0,1,-13,0,85,1,,,13.559663093
