LAM,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,SHSU,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Oregon,Points Troy
,,,,,,,,,,,,Line initial,,,,,,,,,Top 25,Active,Historical,MM Team,Conference,Home Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian,,,,,,,,,,,Abilene Christian,ACU,,,,,,,,,0,,Abilene Christian - 41.703,NO,WAC,"Abilene, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force,,,,,,,,,,,Air Force,AF,,,,,,,,,0,,Air Force - 10.946,NO,Mountain West,"Colorado Springs, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,,,,,,,,,,,Akron,,,,,,,,,,0,,Akron - 38.191,YES,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,Alabama,ALA,,,,,,,,,1,,Alabama - 70.697,YES,SEC,"Tuscaloosa, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama A&M,,,,,,,,,,,Alabama A&M,,,,,,,,,,0,,Alabama A&M - 15.567,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama St.,,,,,,,,,,,Alabama St.,,,,,,,,,,0,,Alabama St. - 6.629,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,,,,,,,,,,,Albany,UALB,,,,,,,,,0,,Albany - 7.529,NO,American East,"Albany, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn St.,,,,,,,,,,,Alcorn St.,,,,,,,,,,0,,Alcorn St. - 15.761,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,American,AMER,,,,,,,,,0,,American - 11.983,NO,Patriot,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
