,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
Abilene Christian,,,,,,,,,10,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,10,314,36,82,9,22,27,35,12,35,22,13,28,31,108,8
,Bradyn Hubbard,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Bench,0,21,2,2,0,0,4,5,0,4,0,1,2,3,8,0,29.982,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,-1.5,0,0,"1,024",0,FALSE, , , , , , , , , , , , , , , , 
,Cade Hornecker,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Starter,1,16,1,6,0,0,0,0,5,5,1,1,0,1,2,0,29.982,0,41.703,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,-1.5,0,0,"1,024",0,TRUE,1,16,1,6,0,0,0,0,5,5,1,1,0,1,2,Cade Hornecker
,Cade Hornecker,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,12,2,3,1,1,0,0,0,0,0,0,0,0,5,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,TRUE,0,12,2,3,1,1,0,0,0,0,0,0,0,0,5,Cade Hornecker
,Christian Alston,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,6,1,2,0,1,0,0,1,0,0,1,0,0,2,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,FALSE, , , , , , , , , , , , , , , , 
,Christian Alston,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Bench,0,5,0,3,0,0,0,0,2,0,0,0,1,1,0,0,29.982,0,41.703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,-1.5,0,0,"1,024",0,FALSE, , , , , , , , , , , , , , , , 
,Dontrez Williams,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,14,2,5,0,1,0,2,1,1,0,2,1,2,4,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,FALSE, , , , , , , , , , , , , , , , 
,Dontrez Williams,Abilene Christian,HOME,Texas St.,Sun Belt,0,0,Bench,0,13,0,1,0,1,0,1,1,0,0,1,2,3,0,0,29.982,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1.5,0,0,"1,024",0,FALSE, , , , , , , , , , , , , , , , 
,Hunter Jack Madden,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,33,2,9,1,7,3,3,1,3,2,1,2,2,8,0,19.369,0,41.703,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-23,-4.5,0,0,1434,0,TRUE,1,33,2,9,1,7,3,3,1,3,2,1,2,2,8,Hunter Jack Madden
