Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,
Kalifa Sakho,Troy,NEUTRAL,Oregon,Big Ten,0,0,Starter,1,23,9,12,0,0,4,5,1,5,6,1,0,3,22,0,73.223,0,18.005,1,0,0,0,0,0,0,1,0,0,0,0,1,1,13,6.5,0,0,"1,848",0,TRUE
Marcus Boykin,Troy,NEUTRAL,Oregon,Big Ten,0,0,Starter,1,34,3,7,1,3,2,3,0,5,11,0,1,1,9,0,73.223,0,18.005,1,0,0,0,0,0,0,1,0,0,1,0,1,0,13,6.5,0,0,"1,848",0,TRUE
Josiah Hammons,Troy,NEUTRAL,Oregon,Big Ten,0,0,Starter,1,20,2,5,2,5,0,0,0,2,0,1,1,0,6,0,73.223,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,6.5,0,0,"1,848",0,TRUE
Dorian Finister,Troy,NEUTRAL,Oregon,Big Ten,0,0,Starter,1,35,2,7,1,3,2,4,5,2,4,0,1,2,7,0,73.223,0,18.005,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,6.5,0,0,"1,848",0,TRUE
Lamar Wilkerson,Troy,NEUTRAL,Oregon,Big Ten,0,0,Starter,1,34,9,16,6,10,4,4,1,1,2,2,1,0,28,0,73.223,0,18.005,1,0,0,0,0,1,1,0,0,1,0,0,1,1,13,6.5,0,0,"1,848",0,TRUE
Andrew Holifield,Oregon,NEUTRAL,Troy,Sun Belt,1,0,Starter,1,28,5,7,2,3,3,4,4,2,1,0,1,0,15,0,18.005,0,73.223,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,6.5,0,0,"1,848",0,FALSE
Adam Hamilton,Oregon,NEUTRAL,Troy,Sun Belt,1,0,Starter,1,25,4,11,0,0,5,6,3,1,2,1,1,0,13,0,18.005,0,73.223,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,6.5,0,0,"1,848",0,TRUE
Danquez Dawsey,Oregon,NEUTRAL,Troy,Sun Belt,1,0,Starter,1,32,2,11,2,6,2,2,1,1,4,1,0,2,8,0,18.005,0,73.223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,6.5,0,0,"1,848",0,FALSE
Alexis Marmolejos,Oregon,NEUTRAL,Troy,Sun Belt,1,0,Starter,1,29,2,9,0,5,0,0,1,5,2,0,0,1,4,0,18.005,0,73.223,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-13,6.5,0,0,"1,848",0,TRUE
Cody Pennebaker,Oregon,NEUTRAL,Troy,Sun Belt,1,0,Starter,1,23,4,10,1,3,0,0,3,3,5,2,1,0,9,0,18.005,0,73.223,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,TRUE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
0,0,NEUTRAL,Troy,Sun Belt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",0,FALSE
