,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Abilene Christian,,,-13.6238340021547,-66.48424660752,39.2365786032107,74.7559124191454,-27.2476680043093
Air Force,,,-23.8192979685818,-36.3017622001495,20.1154371733665,26.6389028610515,-63.8249209639465
Akron,,,13.2880413858293,11.8242187611603,14.7518640104983,2.07015780871548,26.5760827716586
Alabama,,,-6.6682771442514,-19.0895707828814,101.136830312699,56.9617150654012,68.7107052413148
Alabama A&M,,,-3.316060199578,-3.316060199578,-3.316060199578,–,-3.316060199578
Alabama St.,,,21.773573828357,6.115253210834,37.43189444588,22.1442093812873,43.547147656714
Albany,,,23.8091933828982,-10.455662053866,74.813949941066,42.9077930750475,88.1674812700982
Alcorn St.,,,-7.449178743318,-44.077326743318,10.935688365564,28.006119557135,-40.590817121072
American,,,-8.54569542,-69.1160967424949,36.807786362216,43.6719330168168,-49.3997012202789
Appalachian St.,,,-42.4311858011183,-44.5596679222143,-40.3027036800223,3.01012828292262,-84.8623716022366
Arizona,,,-16.3315864920411,-21.2479345518131,93.7880401980729,65.0432909008445,56.2085191542187
Arizona St.,,,54.3377202902123,-23.38136543884,60.7051637002467,40.0353585095854,145.999238841831
Arkansas,,,6.49966929196075,0.82040589602263,10.5912489430546,4.90687325105341,17.911324131038
Arkansas Pine Bluff,,,2.49338967468034,-14.171599285788,42.3640369556047,24.9270464303251,33.1792170191774
Arkansas St.,,,6.71772066669834,1.64916680929,96.29865080929,45.7144083971984,111.383258951977
Army,,,19.487444229626,17.03355393529,27.57514685191,5.51600236437689,64.096145016826
Auburn,,,56.8031730163305,7.37573995105651,138.720118868271,66.3385295665105,202.899031835658
Austin Peay,,,30.8251802447127,9.81097289978067,81.3770185217913,36.7849247869727,122.013171666285
Ball St.,,,0.726187966605333,-31.7813703625033,49.2182296095513,40.7618176051528,18.1630472136533
Baylor,,,57.2599532985847,-71.8342695228423,129.200642754482,85.3612943891054,171.886279828809
Bellarmine,,,-14.8771293958937,-30.121626888828,31.160125980852,29.0254562020353,-28.7157596997633
Belmont,,,2.65554341670931,-9.75937141050536,15.0925877324626,12.4259812135887,7.98875973866655
Bethune Cookman,,,20.406443234823,0.27784555125,93.229212558396,41.2800189761856,134.319944579292
Binghamton,,,-4.037561911022,-19.837743772552,24.738016071832,22.6004351020393,0.862710388258
Boise St.,,,29.327288559409,-15.560339457203,110.984233732194,64.1564297214181,124.7511828344
Boston College,,,0.14554789307826,-18.5008040559461,22.2361267210859,20.3927178305394,3.88087055821806
Boston University,,,3.37658278734181,-25.2993959737542,75.8791636439934,43.8620558302215,57.3329332449228
Bowling Green,,,17.8912880212653,3.91474223786333,30.0290366091118,13.0679324003807,51.8350668682404
Bradley,,,-1.64462323795514,-6.75495940126114,17.6631974716522,11.0381422178419,7.61899159448078
Brown,,,-11.7100389042027,-26.4731768720793,31.0449208527153,24.8782790447636,-18.8483338277694
Bryant,,,22.6804005731944,-20.624307363758,65.9851085101467,61.2421052790438,45.3608011463887
Bucknell,,,17.617273345102,-23.9488103571876,55.578608743484,28.5366565591522,74.7909472919882
Buffalo,,,46.8183752945,-7.37856165610555,47.893398624566,31.6055196741968,87.3332122629605
Butler,,,-8.06666476620911,-32.2049996075151,35.9781552196995,29.2802037117642,-12.3601739202338
BYU,,,-11.41412485104,-32.2642110365956,32.3763392867378,30.1296408623019,-22.7161214519378
Cal Baptist,,,-17.3675573362584,-18.8615078895506,-5.4279984390179,6.34605695042501,-59.0246210010852
Cal Poly,,,41.9133726736111,-15.1030070775,49.8370169225,35.4279983798747,76.6473825186111
Cal St. Bakersfield,,,14.1443012852167,10.4155088029107,53.5303635460664,23.888827560581,78.0901736341938
Cal St. Fullerton,,,4.265962971692,-23.208405055226,39.999384800162,26.6712653033166,25.32290568832
Cal St. Northridge,,,10.4703345400533,-0.592332469946667,72.0855495300533,39.1596983552478,81.9635516001599
California,,,3.47479279166333,-26.4387292083367,7.340818794608,18.4879366920846,-15.6231176220654
Campbell,,,40.3913152584367,-25.7991034233213,98.255106054624,62.0736614834468,112.847317889739
Canisius,,,-14.6994832070738,-46.1552001138544,50.9162410346156,39.5718380573389,-22.3067907255514
Central Arkansas,,,21.892592997626,18.163830997626,28.4231353107313,5.19302374897971,68.4795593059833
Central Connecticut,,,69.6681618471,-13.3774973364847,113.162609540936,64.2919734984819,169.453274051551
Central Michigan,,,49.0723267922103,-24.1149082704953,111.182514289025,57.0869247701957,185.21225960295
Charleston,,,15.0978419998532,-17.3980009833737,27.9150296670603,21.2813991922441,40.712712683393
Charleston Southern,,,-5.86924632598867,-20.545993268774,0.419862956316,8.92262182084517,-31.8646229644353
Charlotte,,,-4.95312636446,-9.825808571742,35.241519477802,24.7332995635548,20.4625845416
Chattanooga,,,-3.66538277412,-5.37635593053533,37.97925122588,18.7511888857011,23.1518508982669
Chicago St.,,,-2.464288946624,-22.99449762124,58.12460785976,35.4298619414927,30.201532345272
Cincinnati,,,20.7607677702758,-9.59026132214415,34.2027900036778,22.4339930801387,45.3732964518095
Clemson,,,-12.5365645224575,-17.4396453241812,-2.91790994669552,6.97214911726139,-45.4306843157918
Cleveland St.,,,27.4154642651225,-36.6872767545967,59.1730316095593,42.6647649777777,77.3166833852075
Coastal Carolina,,,26.276271215737,-15.9927162472798,54.50312970084,32.3009591976282,91.0629558850342
Colgate,,,13.5342544154,-23.402849281358,50.471358112158,52.2369530027365,27.0685088308
Colorado,,,5.06680711756272,-27.8217321001096,31.6428891175627,26.1441812011587,13.9547712525785
Colorado St.,,,-7.04400907869469,-23.8959569502927,27.00282090747,23.9049603932533,-10.9811542002121
Columbia,,,2.230834016499,-10.569096966355,147.586758935723,67.2000555925847,140.165522280623
Connecticut,,,-17.881551167968,-23.0169310883484,-6.25146959070908,8.58983530739647,-47.1499518470255
Coppin St.,,,35.69462085119,-4.8335296555,105.2994323445,43.99202386217,233.364731222924
Cornell,,,3.12415608337177,-4.91475314382,18.50309614618,11.8991002768251,16.7124990857318
Creighton,,,-31.5842091821293,-48.268393658796,5.33372022140181,22.6989124556772,-106.103091801653
Dartmouth,,,-37.366331485996,-46.59333872611,-3.424024332936,22.733263377184,-87.383694545042
Davidson,,,2.48346823719956,0.459017170631112,4.507919303768,2.86300615470177,4.96693647439911
Dayton,,,4.9852057195547,-4.7374401127513,17.8737706512792,11.3424850319139,18.1215362580826
Delaware,,,-6.14683300889822,-41.7597090088982,53.3981283846178,48.0778767240497,5.49158636682138
Delaware St.,,,2.764767447013,-6.533613394254,12.06314828828,13.1498962938299,5.529534894026
