,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line)^2,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Potential Game Coding Next Season,Personal Score Thought,"THINK ABOUT ON THE ROAD FAVORITES, within 10 line, 20+ line, power conference vs power conference, actually name the conference for opponent, road x conference, add attendance back,  ranked opponents, top 5, top 10, (sm+line+10)^2 vs ranked, lead/deficit both within 15, both l/d between 7-15, wins by top 25 opponent, actively in bracketology?, power non conference road game, add opponent coach rating",SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Team:,,,,,,,,,,,,,,,Average:,Average:,,,,,,,Average:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median:,Minimum:,Maximum:,STDEV:,Sum:
Abilene Christian,,,,,,,,,,,,,,,1,1.5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.6238340021547,-66.48424660752,39.2365786032107,74.7559124191454,-27.2476680043093
,Abilene Christian,HOME,WAC,Texas St.,Sun Belt,"Nov 16, 2024","Abilene, TX","1,024",1,0,0,0,0,0,1,2,1,0.666666666666667,0,0,0,0,0,12,-1.5,110.25,420.25,1,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,137.5,132,0,25.6476936544,41.703,1,112,21112,30,,39.2365786032107,39.2365786032107,39.2365786032107,39.2365786032107,39.2365786032107
,Abilene Christian,HOME,WAC,Middle Tennessee,CUSA,"Nov 9, 2024","Abilene, TX",1434,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-23,-4.5,-756.25,-306.25,0,6,29,174,1,0,0,0,0,0,0,0,0,0,1,0,146.5,135,0,25.650239248,41.703,1,112,21112,-10,,-66.48424660752,-66.48424660752,-66.48424660752,-66.48424660752,-66.48424660752
Air Force,,,,,,,,,,,,,,,1,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.8192979685818,-36.3017622001495,20.1154371733665,26.6389028610515,-63.8249209639465
,Air Force,HOME,Mountain West,North Alabama,ASUN,"Nov 4, 2024","Colorado Springs, CO",1212,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-16,-5.5,-462.25,-132.25,0,0,29,0,1,0,0,0,0,0,0,0,0,0,1,0,140.5,130,0,-37.5995826633524,10.946,1,112,21112,10,,-35.8636308266335,-35.8636308266335,-35.8636308266335,-35.8636308266335,-35.8636308266335
,Air Force,HOME,Mountain West,Jacksonville St.,CUSA,"Nov 7, 2024","Colorado Springs, CO",453,1,0,0,0,0,0,1,1,0,1,0,0,-1,-1,1,6,-1.5,20.25,210.25,1,8,11,88,0,0,0,1,0,0,0,1,1,0,1,0,132.5,140,0,-37.5995826633524,10.946,1,112,21112,20,,20.1154371733665,20.1154371733665,20.1154371733665,20.1154371733665,20.1154371733665
,Air Force,HOME,Mountain West,Belmont,Missouri Valley,"Nov 15, 2024","Colorado Springs, CO",2001,1,0,0,0,0,0,1,2,1,0.666666666666667,0,0,-0.333333333333334,-0.111111111111112,1,-8,2.5,-30.25,20.25,0,11,11,121,0,0,0,0,0,0,0,1,0,0,1,0,141.5,150,0,-46.2535666085524,10.946,1,112,21112,25,,-11.77496511053,-11.77496511053,-11.77496511053,-11.77496511053,-11.77496511053
,Air Force,HOME,Mountain West,LIU,NEC,"Nov 11, 2024","Colorado Springs, CO",409,1,0,0,0,0,0,1,1,1,0.5,0,0,0,0,0,-9,-11.5,-420.25,-110.25,0,3,9,27,1,0,0,0,0,0,1,0,0,0,0,0,142.5,117,0,-37.5718200149524,10.946,1,112,21112,20,,-36.3017622001495,-36.3017622001495,-36.3017622001495,-36.3017622001495,-36.3017622001495
Akron,,,,,,,,,,,,,,,1,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2880413858293,11.8242187611603,14.7518640104983,2.07015780871548,26.5760827716586
,Akron,AWAY,MAC,Arkansas St.,Sun Belt,"Nov 4, 2024","Jonesboro, AR",4610,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-5,5.5,0.25,110.25,1,3,11,33,0,0,0,0,0,0,0,0,0,0,1,0,148.5,155,0,65.6993761160327,38.191,1,212,21212,60,,11.8242187611603,11.8242187611603,11.8242187611603,11.8242187611603,11.8242187611603
,Akron,AWAY,MAC,Saint Mary's,WCC,"November 12, 2024","Moraga, CA","3,316",1,0,1,0,1,1,1,2,0,1,0,0,-0.5,-0.25,1,-19,13.5,-30.25,20.25,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5,155,0,64.1395010498327,38.191,1,212,22212,10,,14.7518640104983,14.7518640104983,14.7518640104983,14.7518640104983,14.7518640104983
Alabama,,,,,,,,,,,,,,,0.75,1.25,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6682771442514,-19.0895707828814,101.136830312699,56.9617150654012,68.7107052413148
,Alabama,HOME,SEC,UNC Asheville,Big South,"Nov 4, 2024","Tuscaloosa, AL","13,474",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,-27.5,812.25,1482.25,1,56,0,0,0,0,0,0,0,1,0,0,1,0,0,1,164.5,164,0,97.8012312698601,70.697,1,112,21112,35,,101.136830312699,101.136830312699,101.136830312699,101.136830312699,101.136830312699
,Alabama,HOME,SEC,Arkansas St.,Sun Belt,"Nov 8, 2024","Tuscaloosa, AL","13,474",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,9,-24.5,-240.25,-30.25,0,16,1,16,0,0,0,0,0,0,0,0,0,0,0,1,171.5,167,0,130.78242171186,70.697,1,112,21112,75,,-19.0895707828814,-19.0895707828814,-19.0895707828814,-19.0895707828814,-19.0895707828814
,Alabama,HOME,SEC,McNeese St.,Southland,"Nov 11, 2024","Tuscaloosa, AL","13,474",1,0,0,0,1,1,1,1,1,0.5,0,0,0.5,0.25,-1,8,-17.5,-90.25,0.25,0,21,5,105,0,0,0,1,0,0,0,0,0,0,0,0,168.5,136,0,130.83443095386,70.697,1,112,22112,20,,-17.4432296904614,-17.4432296904614,-17.4432296904614,-17.4432296904614,-17.4432296904614
,Alabama,AWAY,SEC,Purdue,Big Ten,"November 15, 2024","West Lafayette, IN","14,876",1,0,1,1,1,1,0,3,0,1,0,0,0,0,0,-9,2.5,-42.25,12.25,0,6,10,60,0,0,0,0,0,0,0,1,0,0,1,0,165.5,165,0,130.88644019586,70.697,1,221,22221,80,,4.1066754019586,4.1066754019586,4.1066754019586,4.1066754019586,4.1066754019586
