Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Abilene Christian,,43,98,10,27,32,47,9,23,11.5,19.5,9.5,20.5,18,14.5,30,64,69.5,3,1,46,97,9,25,7,22.5,9.5,16,15.5,18.5,11.5,35
Air Force,,83,193,32,102,57,83,7,22.75,16,11.25,4.5,17,11.75,4.5,24,63.75,70.5,3,1,96,223,40,98,11.25,24.5,12.75,9.5,18.25,13.25,7.25,26.5
Akron,,52,144,23,62,16,21,13,24.5,18.5,12,9,15,9.5,11,24,71.5,83.5,3,1,69,143,14,49,15.5,34,18.5,13,11,15.5,12,55
Alabama,,115,239,34,112,84,120,12.25,32.25,17,11.25,4.75,14.25,9,13,39.5,87,71,3,1,100,259,28,94,11,24,10,9.5,19.5,12.5,5,27.5
Alabama A&M,,27,76,3,19,14,24,23,23,12,17,10,27,21,10,48,71,81,3,1,29,59,5,14,13,32,14,20,25,17,14,42
Alabama St.,,47,121,10,42,36,46,13.5,20.5,10.5,13.5,7.5,22.5,10,13,28,70,83.5,3,1,54,105,16,40,9.5,26,17,13,17.5,21.5,10.5,33
Albany,,79,186,17,63,41,54,11.6666666666667,24.6666666666667,10,9,9,18,15.6666666666667,11,35.3333333333333,72,66.6666666666667,3,1,67,155,16,53,8.33333333333333,25.3333333333333,10.6666666666667,14.3333333333333,16,9.66666666666667,4.66666666666667,32
Alcorn St.,,56,166,11,42,33,49,13.3333333333333,17,9.66666666666667,16.6666666666667,7.33333333333333,14.3333333333333,11,6.66666666666667,26.6666666666667,52,95,3,1,96,188,46,104,15,26.3333333333333,26,10.3333333333333,14,23,17,32.6666666666667
American,,85,221,34,104,36,48,7.5,20,10.75,10.5,4.75,17.25,11,6,21,60,75.25,3,1,105,215,21,68,9.75,28.25,11,9.25,12.5,14.25,10.5,39
Appalachian St.,,42,109,16,56,19,34,10.5,24.5,11,18.5,5,18.5,5.5,4.5,21,59.5,82,3,1,60,129,19,53,11,28,13,10,17,13,11,38
Arizona,,99,217,20,73,65,96,21.6666666666667,29.6666666666667,15.6666666666667,10.3333333333333,9.66666666666667,24.6666666666667,20.3333333333333,19.3333333333333,49.3333333333333,94.3333333333333,70.3333333333333,3,1,65,160,24,69,5.33333333333333,21.6666666666667,10.3333333333333,15.6666666666667,23,9,9.66666666666667,20.6666666666667
Arizona St.,,103,225,42,114,55,72,7.5,27.5,13.5,13.5,4,18,11.75,15,29,75.75,71.5,3,1,101,254,29,102,12.25,25,14,10.25,15.75,11.75,10.75,29.5
Arkansas,,82,177,19,62,25,38,9,25,12.3333333333333,12.3333333333333,10.6666666666667,13.6666666666667,19.6666666666667,17.6666666666667,34.6666666666667,69.3333333333333,60.3333333333333,3,1,70,171,19,70,9,23.6666666666667,10.6666666666667,17,15.3333333333333,12.6666666666667,8.66666666666667,31.3333333333333
Arkansas Pine Bluff,,100,235,25,89,42,58,9.25,21.5,9.75,15.5,4,19.75,11.75,5.25,34,66.75,97.25,3,1,139,275,43,125,16.5,26.25,22.5,8,11,22.5,17.75,44.5
