,Coach Name,Conference,,Wins,Losses,Games (Dropping D2 matches),WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3 rank,% of shots taken from 3,% of shots taken from 3 Rank,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G Rank,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,OReb chances,OReb chances Rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_rank,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank
Abilene Christian,Brette Tanner,WAC,,1,1,1,0.5,-5,0,0,56,-23,19,49,49,0.387755102,N/A,19,N/A,2,14,0.142857143,N/A,2,N/A,0.107142857,N/A,0.285714286,N/A,16,25,0.64,N/A,16,N/A,0.510204082,N/A,84.79709267,N/A,0.677966102,N/A,9,N/A,0.264705882,N/A,22,N/A,31,N/A,0.46969697,N/A,9,N/A,0.473684211,N/A,19,N/A,8,N/A,13,N/A,6,N/A,-5,N/A,14,N/A,13,N/A,32,N/A,79,N/A,31,60,30,0.516666667,N/A,15.5,N/A,6,17,0.352941176,N/A,3,N/A,0.113924051,N/A,0.283333333,N/A,1.743589744,N/A,10,N/A,0.3125,N/A,25,N/A,35,N/A,13,N/A,0.838709677,N/A,15,N/A,19,N/A,24,N/A,11,N/A,48,N/A,15,43,1,12,15,21,0.348837209,0.083333333,0.714285714,6,18,24,9,15,6,46,0.7895,0.8776,0.5,0.8571,0.9375,0.84,0.8996,0.5833,1.1161,0.6667,0.8182,0.7742,1,0.7895,0.75,0.8214,1.2,-66.48424661,-66.48424661,-66.48424661,–,-66.48424661,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5392,163,25.64769365,219,41.703,57
Air Force,Joe Scott,Mountain West,,1,2,3,0.333333333,-5,0,1,61.33333333,-6.333333333,58,139,46.33333333,0.417266187,222,19.33333333,332,25,77,0.324675325,191,8.333333333,126,0.407608696,48,0.553956835,13,43,61,0.704918033,180,14.33333333,170,0.438848921,71,105.7957682,197,0.909677419,231,6.333333333,343,0.204301075,333,22.66666667,258,29,326,0.448453608,297,14,136,0.465517241,30,11.66666667,120,4.666666667,301,15.66666667,117,5.666666667,34,-6.333333333,301,13,192,4.666666667,314,20.66666667,331,67.66666667,102,72,168,56,0.428571429,159,24,221,27,67,0.402985075,320,9,308,0.399014778,340,0.398809524,200,3.017647059,227,11,186,0.326732673,241,24.66666667,157,35.66666667,177,11,93,0.458333333,79,10,285,21.33333333,48,10.66666667,91,6,63,28,111,57,132,25,75,43,61,0.431818182,0.333333333,0.704918033,17,59,76,38,26,14,60.66666667,0.9828,0.9496,1,0.974,1,1,1.0349,1.0267,1,0.8947,0.8676,0.8736,0.9048,0.7429,1,0.9891,1,-35.86363083,-36.3017622,20.11543717,32.44674714,-52.04995585,5,15,33.33333333,161,2,9,22.22222222,129,5,8,62.5,144,-4.5,333,2,206,8.5,11,0.5,174,3,320,1,186,1.5,249,0,141,0,0,0,117,0.3889,286,-46.25356661,364,10.946,266
Akron,John Groce,MAC,,1,2,2,0.333333333,11,0,1,71.5,-12,52,144,72,0.361111111,322,26,159,23,62,0.370967742,83,11.5,23,0.482517483,11,0.430555556,121,16,21,0.761904762,87,8,338,0.145833333,360,95.94739667,291,0.894366197,249,13,76,0.276595745,226,24.5,193,37.5,135,0.431034483,319,18.5,24,0.346153846,187,12,130,9,72,15,82,-4,295,-1.5,209,9.5,299,11,133,24,288,83.5,293,69,143,47.66666667,0.482517483,281,23,194,14,49,0.285714286,102,4.666666667,69,0.167664671,49,0.342657343,75,3.441509434,297,15.5,345,0.3875,319,34,353,49.5,361,18.5,329,0.804347826,291,13,155,11,352,15.5,229,12,238,55,365,40,115,18,45,16,21,0.347826087,0.4,0.761904762,23,46,69,34,22,13,57,0.7692,0.7986,0.7826,0.7258,1,1,0.9632,1.0783,1,0.8846,0.9388,0.92,0.9189,0.9167,0.7222,0.7972,0.9,13.28804139,11.82421876,14.75186401,2.070157809,26.57608277,7,16,43.75,111,2,5,40,70,1,2,50,172,1,78,10,8,8,14,4,10,3,320,5,358,2,261,0,141,0,1,0,117,0.6295,80,64.14907875,68,38.191,68
Alabama,Nate Oats,SEC,,3,0,3,1,37,1,0,90,24.33333333,87,176,58.66666667,0.494318182,62,29,74,25,83,0.301204819,237,8.333333333,126,0.277777778,232,0.471590909,69,71,105,0.676190476,227,23.66666667,10,0.596590909,9,130.9154383,25,1.137142857,48,12.66666667,93,0.348623853,80,34.33333333,3,47,6,0.573170732,37,16.66666667,61,0.310344828,278,12.33333333,154,6,232,15.66666667,117,7,19,0.666666667,166,10.33333333,271,17.33333333,40,40,45,65.66666667,79,69,196,65.33333333,0.352040816,30,23,194,19,78,0.243589744,37,6.333333333,164,0.289340102,216,0.397959184,197,2.366834171,101,11.33333333,210,0.248175182,76,23.66666667,129,35,157,7.333333333,13,0.31884058,8,11.66666667,229,22.66666667,24,14,181,6.666666667,80,25.33333333,81,72,137,19,64,63,91,0.525547445,0.296875,0.692307692,19,74,93,40,27,11,75.33333333,0.8276,0.7784,0.76,0.7711,0.8873,0.8667,1.0632,0.9856,1.0238,0.5,0.7184,0.6596,0.8,0.7297,0.6111,0.837,1,-17.44322969,-19.08957078,101.1368303,68.94240179,64.60402984,6,12,50,64,0,4,0,153,11,14,78.57142857,78,3.5,46,5,89,4,130,0.5,174,1,190,1.5,255,1.5,249,1,52,0,0,0.666666667,63,0.6897,40,130.8864402,13,70.697,10
Alabama A&M,Otis Hughley Jr.,SWAC,,0,0,1,0,-13,0,1,0,0,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,–,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3971,284,17.24248004,261,15.567,201
Alabama St.,Tony Madlock,SWAC,,0,2,2,0,-13,0,1,70,-13.5,47,121,60.5,0.388429752,N/A,23.5,N/A,10,42,0.238095238,N/A,5,N/A,0.214285714,N/A,0.347107438,N/A,36,46,0.782608696,N/A,18,N/A,0.380165289,N/A,102.3092663,N/A,0.859504132,N/A,13.5,N/A,0.341772152,N/A,20.5,N/A,34,N/A,0.489208633,N/A,10.5,N/A,0.382978723,N/A,13.5,N/A,7.5,N/A,22.5,N/A,-5,N/A,3.5,N/A,10,N/A,13,N/A,28,N/A,83.5,N/A,54,105,52.5,0.514285714,N/A,27,N/A,16,40,0.4,N/A,8,N/A,0.28742515,N/A,0.380952381,N/A,2.194690265,N/A,9.5,N/A,0.316666667,N/A,26,N/A,35.5,N/A,17,N/A,0.62962963,N/A,13,N/A,17.5,N/A,21.5,N/A,10.5,N/A,33,N/A,43,111,8,35,32,40,0.387387387,0.228571429,0.8,22,32,54,21,20,15,63,0.9149,0.9174,0.8,0.8333,0.8889,0.8696,0.9973,0.96,1.0222,0.8148,0.7805,0.7941,1,0.7407,1,0.9,1,21.77357383,6.115253211,37.43189445,22.14420938,43.54714766,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3231,325,3.301204093,327,6.629,335
Albany,Dwayne Killings,American East,,2,1,2,0.666666667,-13,0,1,73,3,55,134,67,0.410447761,234,27.5,120,14,55,0.254545455,304,7,208,0.287671233,214,0.410447761,151,22,30,0.733333333,126,11,266,0.223880597,323,109.2160383,178,1,147,12,114,0.285714286,209,23.5,228,35.5,180,0.489655172,201,12.5,195,0.327272727,235,7,9,8.5,94,20.5,288,-6.5,337,12.5,14,19,56,12.5,102,33,137,70,124,46,97,32.33333333,0.474226804,261,15.33333333,44,8,29,0.275862069,81,2.666666667,16,0.114285714,16,0.298969072,25,3.092783505,240,7,27,0.229508197,48,30,317,37,205,10.5,78,0.684782609,246,14.5,96,14,298,8,29,7,86,37,283,46,109,13,50,17,23,0.422018349,0.26,0.739130435,14,39,53,18,7,11,61,0.8364,0.8134,0.9286,0.9091,0.7727,0.7667,1.0282,1.0214,1.0079,0.5833,0.8298,0.7465,0.72,0.5,0.6471,0.8356,0.8,32.17914394,-10.45566205,74.81394994,60.29472087,64.35828789,3,11,27.27272727,194,1,5,20,130,3,4,75,87,-8,356,6,55,6,55,2,55,1,190,2,266,1,184,1,52,0,0,0.5,74,0.3538,301,21.6083494,239,7.529,318
Alcorn St.,Landon Bussie,SWAC,,0,4,3,0,-13,0,1,52,-43,56,166,55.33333333,0.337349398,342,18.66666667,344,11,42,0.261904762,290,3.666666667,350,0.211538462,328,0.253012048,356,33,49,0.673469388,234,11,266,0.295180723,252,81.88116733,352,0.698863636,349,13.33333333,68,0.336134454,107,17,356,30.33333333,313,0.423255814,329,9.666666667,305,0.482142857,19,16.66666667,326,7.333333333,154,14.33333333,67,-0.333333333,190,-8,327,11,252,6.666666667,264,26.66666667,257,95,356,96,188,47,0.510638298,323,24,221,46,104,0.442307692,346,11.5,357,0.363157895,312,0.553191489,355,4.890410959,360,15,330,0.46875,361,26.33333333,224,41.33333333,306,26,365,1.083333333,344,10.33333333,278,14,298,23,345,17,325,32.66666667,207,42,133,8,31,28,42,0.315789474,0.258064516,0.666666667,25,30,55,25,33,18,40,0.75,0.8012,0.7273,0.7381,0.8485,0.8571,0.9361,0.9853,0.9899,0.625,0.5882,0.6044,0.8621,0.66,0.8182,0.7692,1,-7.449178743,-44.07732674,10.93568837,28.00611956,-40.59081712,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4545,249,13.55966309,283,15.761,199
American,Duane Simpkins,Patriot,,1,2,3,0.333333333,-16,0,1,61.66666667,-3,66,160,53.33333333,0.4125,230,22,282,27,73,0.369863014,88,9,83,0.437837838,32,0.45625,85,26,37,0.702702703,185,8.666666667,325,0.23125,319,104.2605951,215,0.957831325,189,7.666666667,307,0.23,304,21.33333333,295,29,326,0.450777202,293,12.33333333,201,0.409090909,71,9.666666667,52,5.333333333,279,19.33333333,266,-5.666666667,327,-2.333333333,230,12.66666667,205,8,215,22.66666667,312,64.66666667,73,69,154,51.33333333,0.448051948,198,23,194,14,46,0.304347826,134,4.666666667,69,0.216494845,111,0.298701299,24,2.961038961,215,9.666666667,125,0.311827957,215,25.66666667,198,35.33333333,166,9.333333333,41,0.405797101,35,9.333333333,314,13.66666667,315,11.66666667,121,6.333333333,69,33.33333333,225,61,148,25,67,25,34,0.412162162,0.373134328,0.735294118,17,55,72,35,22,13,57.33333333,0.9242,0.925,0.9259,0.9178,0.9615,0.9189,0.9992,1.0088,1.0464,0.7391,0.8594,0.8276,0.9459,0.7586,0.8125,0.9297,1,-3.354836425,-13.73655442,36.80778636,26.69440242,19.71639552,3,7,42.85714286,113,1,2,50,35,3,4,75,87,-3,302,2,206,5,97,0,182,0,1,1,186,1,184,0,141,0,0,0,117,0.4857,222,15.21451464,272,11.983,245
Appalachian St.,Dustin Kerns,Sun Belt,,1,2,2,0.333333333,-2,0,1,59.5,-22.5,42,109,54.5,0.385321101,286,21,311,16,56,0.285714286,256,8,138,0.403361345,54,0.513761468,23,19,34,0.558823529,342,9.5,306,0.311926606,226,89.23215357,329,0.8,315,10.5,188,0.272727273,231,24.5,193,35,194,0.472972973,246,11,251,0.428571429,45,18.5,347,5,288,18.5,238,-1.5,230,-9,332,5.5,349,4.5,319,21,328,82,268,60,129,43,0.465116279,234,20,123,19,53,0.358490566,247,6.333333333,164,0.231707317,134,0.410852713,224,2.752475248,166,11,186,0.309859155,208,28,274,39,258,13,163,0.65,230,10,285,17,168,13,154,11,217,38,291,36,93,13,48,15,28,0.387096774,0.270833333,0.535714286,16,36,52,19,18,9,50,0.8571,0.8532,0.8125,0.8571,0.7895,0.8235,1.0046,0.9479,0.9586,0.7619,0.7347,0.7429,0.8636,0.4865,0.9,0.8403,1,-42.4311858,-44.55966792,-40.30270368,3.010128283,-84.8623716,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5875,124,39.27447888,159,28.323,108
