Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Hornecker,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,12,2,3,1,1,0,0,0,0,0,0,0,0,5,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Alston,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,6,1,2,0,1,0,0,1,0,0,1,0,0,2,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontrez Williams,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,14,2,5,0,1,0,2,1,1,0,2,1,2,4,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,TRUE,0,14,2,5,0,1,0,2,1,1,0,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Jack Madden,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,33,2,9,1,7,3,3,1,3,2,1,2,2,8,0,19.369,0,41.703,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-23,-4.5,0,0,1434,0,TRUE,1,33,2,9,1,7,3,3,1,3,2,1,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Venzant,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,30,4,6,0,0,2,4,1,5,1,1,2,2,10,0,19.369,0,41.703,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-23,-4.5,0,0,1434,0,TRUE,1,30,4,6,0,0,2,4,1,5,1,1,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Bettiol,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,23,4,7,0,0,0,0,1,2,2,0,2,4,8,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-23,-4.5,0,0,1434,0,TRUE,1,23,4,7,0,0,0,0,1,2,2,0,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma’Shy Hill,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,5,1,1,0,0,0,2,1,0,0,0,1,0,2,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasir DeGruy,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,21,2,8,0,2,0,0,0,2,1,2,3,1,4,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-23,-4.5,0,0,1434,0,TRUE,1,21,2,8,0,2,0,0,0,2,1,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quion Williams,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Starter,1,22,0,6,0,2,4,4,2,4,1,0,4,0,4,0,19.369,0,41.703,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-23,-4.5,0,0,1434,0,TRUE,1,22,0,6,0,2,4,4,2,4,1,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Smith,Abilene Christian,HOME,Middle Tennessee,CUSA,0,0,Bench,0,17,1,2,0,0,6,8,0,1,2,0,1,2,8,0,19.369,0,41.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-4.5,0,0,1434,0,TRUE,0,17,1,2,0,0,6,8,0,1,2,0,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beau Becker,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,5,0,1,0,1,0,0,0,1,1,0,0,0,0,,14.617,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-5.5,0,0,1212,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Brown,Air Force,HOME,North Alabama,ASUN,0,,Starter,1,18,1,2,0,0,0,2,2,2,0,0,1,0,2,,14.617,,10.946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-16,-5.5,0,0,1212,0,TRUE,1,18,1,2,0,0,0,2,2,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Brown,Air Force,HOME,Jacksonville St.,CUSA,0,,Bench,0,15,0,1,0,0,0,0,0,0,0,0,0,2,0,,15.992,,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.5,1,0,453,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Brown,Air Force,HOME,LIU,NEC,0,0,Bench,0,20,0,1,0,1,2,2,0,2,1,0,2,3,2,0,7.111,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-9,-11.5,1,0,409,0,TRUE,0,20,0,1,0,1,2,2,0,2,1,0,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Walker,Air Force,HOME,Jacksonville St.,CUSA,0,,Bench,0,22,4,6,1,1,1,2,3,1,4,0,1,3,10,,15.992,,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-1.5,1,0,453,0,TRUE,0,22,4,6,1,1,1,2,3,1,4,0,1,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Walker,Air Force,HOME,North Alabama,ASUN,0,,Bench,0,25,5,7,0,0,2,3,1,6,2,0,2,3,12,,14.617,,10.946,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-16,-5.5,0,0,1212,0,TRUE,0,25,5,7,0,0,2,3,1,6,2,0,2,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
